Category,pathway,kegg,subcategory
Carbohydrate and lipid metabolism,"Glycosaminoglycan biosynthesis, heparan sulfate backbone [PATH:map00534]",K02579,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,"Glycosaminoglycan biosynthesis, heparan sulfate backbone [PATH:map00534]",K02578,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,"Glycosaminoglycan biosynthesis, heparan sulfate backbone [PATH:map00534]",K02577,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,"Glycosaminoglycan biosynthesis, heparan sulfate backbone [PATH:map00534]",K02576,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,"Glycosaminoglycan biosynthesis, heparan sulfate backbone [PATH:map00534]",K02370,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,"Glycosaminoglycan biosynthesis, heparan sulfate backbone [PATH:map00534]",K02369,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,"Glycosaminoglycan biosynthesis, heparan sulfate backbone [PATH:map00534]",K02368,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,"Glycosaminoglycan biosynthesis, heparan sulfate backbone [PATH:map00534]",K02367,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,"Glycosaminoglycan biosynthesis, heparan sulfate backbone [PATH:map00534]",K02366,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,"Glycosaminoglycan biosynthesis, heparan sulfate backbone [PATH:map00534]",K01793,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,"Glycosaminoglycan biosynthesis, linkage tetrasaccharide [PATH:map00532]",M00057,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,"Glycosaminoglycan biosynthesis, linkage tetrasaccharide [PATH:map00532]",K10158,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,"Glycosaminoglycan biosynthesis, linkage tetrasaccharide [PATH:map00532]",K00771,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,"Glycosaminoglycan biosynthesis, linkage tetrasaccharide [PATH:map00532]",K00734,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,"Glycosaminoglycan biosynthesis, linkage tetrasaccharide [PATH:map00532]",K00733,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3 [PATH:map00604]",M00069,Glycan metabolism
Carbohydrate and lipid metabolism,"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3 [PATH:map00604]",K03371,Glycan metabolism
Carbohydrate and lipid metabolism,"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3 [PATH:map00604]",K03370,Glycan metabolism
Carbohydrate and lipid metabolism,"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3 [PATH:map00604]",K03369,Glycan metabolism
Carbohydrate and lipid metabolism,"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer [PATH:map00603]",M00068,Glycan metabolism
Carbohydrate and lipid metabolism,"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer [PATH:map00603]",K01988,Glycan metabolism
Carbohydrate and lipid metabolism,"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer [PATH:map00603]",K00719,Glycan metabolism
Carbohydrate and lipid metabolism,"Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer [PATH:map00601]",M00070,Glycan metabolism
Carbohydrate and lipid metabolism,"Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer [PATH:map00601]",K07820,Glycan metabolism
Carbohydrate and lipid metabolism,"Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer [PATH:map00601]",K07819,Glycan metabolism
Carbohydrate and lipid metabolism,"Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer [PATH:map00601]",K03877,Glycan metabolism
Carbohydrate and lipid metabolism,"Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer [PATH:map00601]",K03766,Glycan metabolism
Carbohydrate and lipid metabolism,"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer [PATH:map00601]",M00071,Glycan metabolism
Carbohydrate and lipid metabolism,"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer [PATH:map00601]",K07969,Glycan metabolism
Carbohydrate and lipid metabolism,"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer [PATH:map00601]",K07968,Glycan metabolism
Carbohydrate and lipid metabolism,"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer [PATH:map00601]",K07967,Glycan metabolism
Carbohydrate and lipid metabolism,"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer [PATH:map00601]",K07966,Glycan metabolism
Carbohydrate and lipid metabolism,"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer [PATH:map00601]",K03766,Glycan metabolism
Carbohydrate and lipid metabolism,Glyoxylate cycle [PATH:map01200 map00630],M00012,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Glyoxylate cycle [PATH:map01200 map00630],K19282,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Glyoxylate cycle [PATH:map01200 map00630],K01682,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Glyoxylate cycle [PATH:map01200 map00630],K01681,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Glyoxylate cycle [PATH:map01200 map00630],K01647,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Glyoxylate cycle [PATH:map01200 map00630],K01638,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Glyoxylate cycle [PATH:map01200 map00630],K01637,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Glyoxylate cycle [PATH:map01200 map00630],K00026,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Glyoxylate cycle [PATH:map01200 map00630],K00025,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Glyoxylate cycle [PATH:map01200 map00630],K00024,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Heparan sulfate degradation [PATH:map00531],M00078,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,Heparan sulfate degradation [PATH:map00531],K10532,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,Heparan sulfate degradation [PATH:map00531],K07965,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,Heparan sulfate degradation [PATH:map00531],K07964,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,Heparan sulfate degradation [PATH:map00531],K01565,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,Heparan sulfate degradation [PATH:map00531],K01217,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,Heparan sulfate degradation [PATH:map00531],K01205,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,Heparan sulfate degradation [PATH:map00531],K01195,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,Heparan sulfate degradation [PATH:map00531],K01137,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,Heparan sulfate degradation [PATH:map00531],K01136,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate [PATH:map00562]",M00132,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate [PATH:map00562]",K10572,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate [PATH:map00562]",K00915,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate [PATH:map00562]",K00913,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol [PATH:map00562]",M00131,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol [PATH:map00562]",K18649,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol [PATH:map00562]",K15759,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol [PATH:map00562]",K15422,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol [PATH:map00562]",K10047,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol [PATH:map00562]",K01109,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol [PATH:map00562]",K01107,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol [PATH:map00562]",K01106,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol [PATH:map00562]",K01092,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4 [PATH:map00562]",M00130,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4 [PATH:map00562]",K19801,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4 [PATH:map00562]",K13712,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4 [PATH:map00562]",K13711,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4 [PATH:map00562]",K05861,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4 [PATH:map00562]",K05860,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4 [PATH:map00562]",K05859,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4 [PATH:map00562]",K05858,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4 [PATH:map00562]",K05857,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4 [PATH:map00562]",K01116,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4 [PATH:map00562]",K00911,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4 [PATH:map00562]",K00889,Lipid metabolism
Carbohydrate and lipid metabolism,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4 [PATH:map00562]",K00888,Lipid metabolism
Carbohydrate and lipid metabolism,Jasmonic acid biosynthesis [PATH:map00592],M00113,Fatty acid metabolism
Carbohydrate and lipid metabolism,Jasmonic acid biosynthesis [PATH:map00592],K10527,Fatty acid metabolism
Carbohydrate and lipid metabolism,Jasmonic acid biosynthesis [PATH:map00592],K10526,Fatty acid metabolism
Carbohydrate and lipid metabolism,Jasmonic acid biosynthesis [PATH:map00592],K10525,Fatty acid metabolism
Carbohydrate and lipid metabolism,Jasmonic acid biosynthesis [PATH:map00592],K07513,Fatty acid metabolism
Carbohydrate and lipid metabolism,Jasmonic acid biosynthesis [PATH:map00592],K05894,Fatty acid metabolism
Carbohydrate and lipid metabolism,Jasmonic acid biosynthesis [PATH:map00592],K01723,Fatty acid metabolism
Carbohydrate and lipid metabolism,Jasmonic acid biosynthesis [PATH:map00592],K00632,Fatty acid metabolism
Carbohydrate and lipid metabolism,Jasmonic acid biosynthesis [PATH:map00592],K00454,Fatty acid metabolism
Carbohydrate and lipid metabolism,Jasmonic acid biosynthesis [PATH:map00592],K00232,Fatty acid metabolism
Carbohydrate and lipid metabolism,Keratan sulfate degradation [PATH:map00531],M00079,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,Keratan sulfate degradation [PATH:map00531],K12373,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,Keratan sulfate degradation [PATH:map00531],K12309,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,Keratan sulfate degradation [PATH:map00531],K01137,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,Keratan sulfate degradation [PATH:map00531],K01132,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone [PATH:map00072]",M00088,Fatty acid metabolism
Carbohydrate and lipid metabolism,"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone [PATH:map00072]",K01641,Fatty acid metabolism
Carbohydrate and lipid metabolism,"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone [PATH:map00072]",K01640,Fatty acid metabolism
Carbohydrate and lipid metabolism,"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone [PATH:map00072]",K01574,Fatty acid metabolism
Carbohydrate and lipid metabolism,"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone [PATH:map00072]",K00626,Fatty acid metabolism
Carbohydrate and lipid metabolism,"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone [PATH:map00072]",K00019,Fatty acid metabolism
Carbohydrate and lipid metabolism,Lactosylceramide biosynthesis [PATH:map00600],M00066,Lipid metabolism
Carbohydrate and lipid metabolism,Lactosylceramide biosynthesis [PATH:map00600],K07553,Lipid metabolism
Carbohydrate and lipid metabolism,Lactosylceramide biosynthesis [PATH:map00600],K00720,Lipid metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, KDO2-lipid A [PATH:map00540]",M00060,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, KDO2-lipid A [PATH:map00540]",K16363,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, KDO2-lipid A [PATH:map00540]",K03269,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, KDO2-lipid A [PATH:map00540]",K02560,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, KDO2-lipid A [PATH:map00540]",K02536,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, KDO2-lipid A [PATH:map00540]",K02535,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, KDO2-lipid A [PATH:map00540]",K02527,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, KDO2-lipid A [PATH:map00540]",K02517,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, KDO2-lipid A [PATH:map00540]",K00912,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, KDO2-lipid A [PATH:map00540]",K00748,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, KDO2-lipid A [PATH:map00540]",K00677,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen [PATH:map00540]",M00080,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen [PATH:map00540]",K03280,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen [PATH:map00540]",K03279,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen [PATH:map00540]",K03278,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen [PATH:map00540]",K02850,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen [PATH:map00540]",K02849,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen [PATH:map00540]",K02848,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen [PATH:map00540]",K02847,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen [PATH:map00540]",K02844,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen [PATH:map00540]",K02843,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen [PATH:map00540]",K02841,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen [PATH:map00540]",K02840,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen [PATH:map00540]",K02527,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA [PATH:map01200 map00640]",M00013,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA [PATH:map01200 map00640]",K07515,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA [PATH:map01200 map00640]",K07514,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA [PATH:map01200 map00640]",K07511,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA [PATH:map01200 map00640]",K05605,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA [PATH:map01200 map00640]",K00249,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA [PATH:map01200 map00640]",K00140,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Methylaspartate cycle [PATH:map01200 map00020 map00250 map00630],M00740,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Methylaspartate cycle [PATH:map01200 map00020 map00250 map00630],K19282,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Methylaspartate cycle [PATH:map01200 map00020 map00250 map00630],K19281,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Methylaspartate cycle [PATH:map01200 map00020 map00250 map00630],K19280,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Methylaspartate cycle [PATH:map01200 map00020 map00250 map00630],K19268,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Methylaspartate cycle [PATH:map01200 map00020 map00250 map00630],K14449,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Methylaspartate cycle [PATH:map01200 map00020 map00250 map00630],K04835,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Methylaspartate cycle [PATH:map01200 map00020 map00250 map00630],K01846,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Methylaspartate cycle [PATH:map01200 map00020 map00250 map00630],K01681,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Methylaspartate cycle [PATH:map01200 map00020 map00250 map00630],K01647,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Methylaspartate cycle [PATH:map01200 map00020 map00250 map00630],K00261,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Methylaspartate cycle [PATH:map01200 map00020 map00250 map00630],K00031,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,Methylaspartate cycle [PATH:map01200 map00020 map00250 map00630],K00024,Other carbohydrate metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, complex type [PATH:map00510]",M00075,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, complex type [PATH:map00510]",K13748,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, complex type [PATH:map00510]",K09661,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, complex type [PATH:map00510]",K07968,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, complex type [PATH:map00510]",K07967,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, complex type [PATH:map00510]",K07966,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, complex type [PATH:map00510]",K01231,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, complex type [PATH:map00510]",K00779,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, complex type [PATH:map00510]",K00778,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, complex type [PATH:map00510]",K00744,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, complex type [PATH:map00510]",K00738,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, complex type [PATH:map00510]",K00737,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, complex type [PATH:map00510]",K00736,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, complex type [PATH:map00510]",K00717,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, high-mannose type [PATH:map00510 map00513]",M00074,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, high-mannose type [PATH:map00510 map00513]",K05546,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, high-mannose type [PATH:map00510 map00513]",K05535,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, high-mannose type [PATH:map00510 map00513]",K05534,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, high-mannose type [PATH:map00510 map00513]",K05533,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, high-mannose type [PATH:map00510 map00513]",K05532,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, high-mannose type [PATH:map00510 map00513]",K05531,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, high-mannose type [PATH:map00510 map00513]",K05530,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, high-mannose type [PATH:map00510 map00513]",K05529,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, high-mannose type [PATH:map00510 map00513]",K05528,Glycan metabolism
Carbohydrate and lipid metabolism,"N-glycan biosynthesis, high-mannose type [PATH:map00510 map00513]",K01230,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycan precursor biosynthesis [PATH:map00510],M00055,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycan precursor biosynthesis [PATH:map00510],K07441,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycan precursor biosynthesis [PATH:map00510],K07432,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycan precursor biosynthesis [PATH:map00510],K03850,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycan precursor biosynthesis [PATH:map00510],K03849,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycan precursor biosynthesis [PATH:map00510],K03848,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycan precursor biosynthesis [PATH:map00510],K03847,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycan precursor biosynthesis [PATH:map00510],K03846,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycan precursor biosynthesis [PATH:map00510],K03845,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycan precursor biosynthesis [PATH:map00510],K03844,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycan precursor biosynthesis [PATH:map00510],K03843,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycan precursor biosynthesis [PATH:map00510],K03842,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycan precursor biosynthesis [PATH:map00510],K01001,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycan precursor biosynthesis [PATH:map00510],K00729,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycan precursor trimming [PATH:map00510],M00073,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycan precursor trimming [PATH:map00510],K05546,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycan precursor trimming [PATH:map00510],K01230,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycan precursor trimming [PATH:map00510],K01228,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycosylation by oligosaccharyltransferase [PATH:map00510],M00072,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycosylation by oligosaccharyltransferase [PATH:map00510],K12691,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycosylation by oligosaccharyltransferase [PATH:map00510],K12670,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycosylation by oligosaccharyltransferase [PATH:map00510],K12669,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycosylation by oligosaccharyltransferase [PATH:map00510],K12668,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycosylation by oligosaccharyltransferase [PATH:map00510],K12667,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycosylation by oligosaccharyltransferase [PATH:map00510],K12666,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycosylation by oligosaccharyltransferase [PATH:map00510],K07151,Glycan metabolism
Carbohydrate and lipid metabolism,N-glycosylation by oligosaccharyltransferase [PATH:map00510],K00730,Glycan metabolism
Carbohydrate and lipid metabolism,"Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map01200 map00030 map00052]",M00309,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map01200 map00030 map00052]",K18128,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map01200 map00030 map00052]",K18127,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map01200 map00030 map00052]",K18022,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map01200 map00030 map00052]",K18021,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map01200 map00030 map00052]",K18020,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map01200 map00030 map00052]",K11395,Central carbohydrate metabolism
